date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:04	212813/212813	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202020%2018:31:29%20GMT	https://flfl.link/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.0.4	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor-pro/assets/css/frontend.min459e.css	(from https://3bqre.xyz/)
14:06:04	32316/32316	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202020%2022:34:49%20GMT	https://flfl.link/wp-content/uploads/elementor/css/global.css?ver=1601764489	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/uploads/elementor/css/globalbb97.css	(from https://3bqre.xyz/)
14:06:05	1409/1409	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Sep%202021%2023:54:15%20GMT	https://flfl.link/wp-content/uploads/elementor/css/post-866.css?ver=1621280784	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/uploads/elementor/css/post-866e817.css	(from https://3bqre.xyz/)
14:06:05	55753/55753	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from https://3bqre.xyz/)
14:06:05	661/661	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css	(from https://3bqre.xyz/)
14:06:06	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2021%20Oct%202021%2013:06:17%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Lenovo/Desktop/stealing/cimocpa/connect.facebook.net/en_US/fbevents.js	(from https://3bqre.xyz/)
14:06:08	68606/68606	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Oct%202020%2002:46:36%20GMT	https://flfl.link/wp-content/uploads/2020/10/80674d29-e4ae-4642-9acb-8a772e70e966-768x782-1.jpg	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/uploads/2020/10/80674d29-e4ae-4642-9acb-8a772e70e966-768x782-1.jpg	(from https://3bqre.xyz/)
14:06:09	6482/6482	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202020%2017:03:50%20GMT	https://flfl.link/wp-content/uploads/2020/10/3.png	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/uploads/2020/10/3.png	(from https://3bqre.xyz/)
14:06:09	357801/357801	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202020%2017:54:25%20GMT	https://flfl.link/wp-content/uploads/2020/11/opengraph-image-v2.jpg	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/uploads/2020/11/opengraph-image-v2.jpg	(from https://3bqre.xyz/)
14:06:09	2437/2437	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202020%2017:03:46%20GMT	https://flfl.link/wp-content/uploads/2020/10/8.png	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/uploads/2020/10/8.png	(from https://3bqre.xyz/)
14:06:10	10594/10594	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2017:54:55%20GMT	https://flfl.link/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.5.5	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/themes/astra/assets/js/minified/style.min4468.js	(from https://3bqre.xyz/)
14:06:10	1426/1426	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2021:11:00%20GMT	https://flfl.link/wp-includes/js/wp-embed.min.js?ver=5.5.5	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-includes/js/wp-embed.min24b2.js	(from https://3bqre.xyz/)
14:06:11	5629/5629	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2014%20Jun%202020%2004:23:28%20GMT	https://flfl.link/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-includes/js/imagesloaded.mineda1.js	(from https://3bqre.xyz/)
14:06:11	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2013:55:54%20GMT	https://flfl.link/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-includes/js/jquery/jquery4a5f.js	(from https://3bqre.xyz/)
14:06:12	64122/64122	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.0.11	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/js/frontend-modules.min9b4a.js	(from https://3bqre.xyz/)
14:06:12	6595/6595	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2018:31:29%20GMT	https://flfl.link/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.0.4	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min459e.js	(from https://3bqre.xyz/)
14:06:13	6438/6438	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2021:11:00%20GMT	https://flfl.link/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-includes/js/jquery/ui/position.mine899.js	(from https://3bqre.xyz/)
14:06:13	172151/172151	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2018:31:29%20GMT	https://flfl.link/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.0.4	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor-pro/assets/js/frontend.min459e.js	(from https://3bqre.xyz/)
14:06:13	10863/10863	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.8.1	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/lib/dialog/dialog.mina288.js	(from https://3bqre.xyz/)
14:06:13	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://3bqre.xyz/)
14:06:15	139153/139153	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://3bqre.xyz/)
14:06:15	2578/2578	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.0.11	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/lib/share-link/share-link.min9b4a.js	(from https://3bqre.xyz/)
14:06:16	120198/120198	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202020%2017:58:50%20GMT	https://flfl.link/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.0.11	C:/Users/Lenovo/Desktop/stealing/cimocpa/flfl.link/wp-content/plugins/elementor/assets/js/frontend.min9b4a.js	(from https://3bqre.xyz/)
14:06:16	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-cd66dc192792affd;gz%22	https://3bqre.xyz/c	C:/Users/Lenovo/Desktop/stealing/cimocpa/3bqre.xyz/c.1f.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:06:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-cd66dc192792affd;gz%22	https://3bqre.xyz/b	C:/Users/Lenovo/Desktop/stealing/cimocpa/3bqre.xyz/b	(from https://connect.facebook.net/en_US/fbevents.js)
14:06:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-cd66dc192792affd;gz%22	https://3bqre.xyz/POST	C:/Users/Lenovo/Desktop/stealing/cimocpa/3bqre.xyz/POST	(from https://connect.facebook.net/en_US/fbevents.js)
